size	fuzzy	unit	function
1104	99.98	System/Application	proc__12TApplicationFv
1104	99.96	NPC/NpcBase	moveObject__8TBaseNPCFv
1100	99.94	Map/MapEventMare	depressing__21TMareEventDepressWallFv
1100	99.44	Enemy/gesso	execute__17TNerveGessoFreezeCFP24TSpineBase<10TLiveActor>
1088	99.99	Camera/cameragc	__ct__15CPolarSubCameraFPCc
1088	99.26	Enemy/Koopa	getShowered__6TKoopaFv
1080	99.93	System/MenuDir	setFixedStageValue__13TMenuDirectorFv
1076	99.98	GC2D/Option	checkInput__14TOptionControlFv
1076	99.13	Enemy/bosswanwan	execute__11TNerveBWDieCFP24TSpineBase<10TLiveActor>
1072	99.81	MoveBG/MapObjItem2	control__12TMushroom1upFv
1068	99.92	Enemy/graph	getRandomButDirLimited__9TGraphWebCFiiRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>fUl
1068	99.60	NPC/NpcAnm	walkAnmRateChange___8TBaseNPCFv
1068	99.27	GC2D/PauseMenu2	disappearWindow__11TPauseMenu2Fv
1060	99.85	Enemy/fruitsboat	execute__27TNerveFruitsBoatGraphWanderCFP24TSpineBase<10TLiveActor>
1044	99.65	Strategic/ObjHitCheck	clearHitNum__12TObjHitCheckFv
1044	99.00	JSystem/JParticle/JPADrawVisitor	exec__22JPADrawExecDirectionalFPC14JPADrawContextP15JPABaseParticle
1040	99.33	Player/MarioRun	doSurfing__6TMarioFv
1036	99.81	System/Application	drawDVDErr__12TApplicationFv
1028	99.74	Enemy/bossgesso	execute__12TNerveBGWaitCFP24TSpineBase<10TLiveActor>
1028	99.09	GC2D/Option	__ct__17TOptionRumbleUnitFP9J2DScreen
1024	99.96	Enemy/chuuhana	execute__20TNerveChuuHanaAttackCFP24TSpineBase<10TLiveActor>
1020	99.82	Enemy/chuuhana	isCollidMove__9TChuuHanaFP9THitActor
1020	99.47	NPC/NpcChange	setPosAndInitAfterSinkBottom__8TBaseNPCFv
1016	99.82	Map/MapStaticObject	init__13TMapStaticObjFPCc
1016	99.76	GC2D/Option	__ct__16TOptionSoundUnitFP9J2DScreen
1016	99.55	GC2D/Talk2D2	setMessageID__8TTalk2D2FUlUl
1012	99.72	Enemy/enemymanager	performShared__13TEnemyManagerFUlPQ26JDrama9TGraphics
1004	99.98	Player/MarioRun	doSliding__6TMarioFf
1004	99.92	Enemy/chuuhana	execute__25TNerveChuuHanaKeepBalanceCFP24TSpineBase<10TLiveActor>
1000	99.84	Player/ModelWaterManager	__ct__14TWaterEmitInfoFPCc
1000	99.18	Enemy/tinkoopa	execute__19TNerveTinKoopaBreakCFP24TSpineBase<10TLiveActor>
988	99.96	JSystem/J3D/J3DGraphAnimator/J3DCluster	initMtxIndexArray__13J3DSkinDeformFP12J3DModelData
984	99.97	MarioUtil/ShadowUtil	__ct__16TMBindShadowBodyFP9THitActorP8J3DModelf
984	99.89	Enemy/fireWanwan	bindPoint__11TFireWanwanFPQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>fP18TBGWallCheckRecord
972	99.88	GC2D/GCConsole2	startAppearStar__11TGCConsole2Fv
968	99.97	Enemy/bosseel	execute__23TNerveBossEelSecondSpinCFP24TSpineBase<10TLiveActor>
968	99.97	Player/MarioRun	slideProcess__6TMarioFff
968	99.81	JSystem/JParticle/JPAEmitter	loadBaseEmitterBlock__14JPABaseEmitterFP12JPADataBlock
964	99.82	MoveBG/MapObjMonte	loadAfter__13TFluffManagerFv
964	99.81	GC2D/Option	update__17TOptionRumbleUnitFv
960	99.98	GC2D/ConsoleStr	load__11TConsoleStrFR20JSUMemoryInputStream
