size	fuzzy	unit	function
220	99.87	Enemy/coasterkiller	bind__13TCoasterEnemyFv
220	99.80	System/EventWatcher	evGetRestTime__FP32TSpcTypedInterp<13TEventWatcher>Ul
220	99.80	Enemy/koopajr	makeCollisionPositions__17TKoopaJrSubmarineFv
220	99.29	MoveBG/MapObjBall	checkWallCollision__11TMapObjBallFPQ29JGeometry8TVec3<f>
216	99.89	Enemy/igaiga	flagJump__9TGorogoroFv
216	99.78	Enemy/igaiga	flagJump__10TRollEnemyFv
216	99.33	System/PerformList	perform__12TPerformListFUlPQ26JDrama9TGraphics
212	99.79	JSystem/JParticle/JPAEmitter	deleteAllParticle__14JPABaseEmitterFv
208	99.92	System/EventWatcher	evStartMontemanBGM__FP32TSpcTypedInterp<13TEventWatcher>Ul
208	99.79	MoveBG/MapObjBase	initAndRegister__11TMapObjBaseFPCc
208	99.63	System/Application	__ct__12TApplicationFv
204	99.78	JSystem/JAudio/JASystem/JASTrack	writeRegDirect__Q28JASystem6TTrackFUcUs
200	99.50	Enemy/Koopa	updateAnmSound__6TKoopaFv
196	99.90	MoveBG/MapObjBianco	loadAfter__15TLampSeesawMainFv
192	99.58	MoveBG/MapObjMamma	expanded__13TSandBombBaseFv
188	99.79	Enemy/igaiga	initSetEnemies__14TIgaigaManagerFv
188	99.79	Enemy/gesso	initSetEnemies__13TGessoManagerFv
184	99.80	System/EventWatcher	evSetPollutionIncreaseCount__FP32TSpcTypedInterp<13TEventWatcher>Ul
184	99.80	System/EventWatcher	evSetAttentionTime__FP32TSpcTypedInterp<13TEventWatcher>Ul
184	99.78	Enemy/bosseel	createEnemies__17TBEelTearsManagerFi
184	99.76	Map/MapMirror	perform__13TMirrorCameraFUlPQ26JDrama9TGraphics
184	99.67	Enemy/killer	flyBehavior__7TKillerFv
180	99.91	Animal/BeeHive	receiveMessage__4TBeeFP9THitActorUl
180	99.89	Map/MapMirror	setPlane__15TMirrorModelObjFv
180	99.33	MarioUtil/DrawUtil	SMS_UnifyMaterial__FP8J3DModel
172	99.91	System/MSoundMainSide	getMonteVillageActorArea__10MSMainProcFRC3Vec
168	99.93	MoveBG/MapObjPinna	__ct__11TPinnaShellFv
168	99.88	Player/MarioRun	getSlideStickMult__6TMarioFv
168	99.83	MSound/MSoundSE	__ct__Q214MSoundSESystem9MSRandVolFUl
168	99.74	JSystem/JParticle/JPADrawVisitor	dirTypePrevPtcl__FP15JPABaseParticleP14JPABaseEmitterRQ29JGeometry8TVec3<f>
164	99.63	MoveBG/MapObjLib	joinToGroup__11TMapObjBaseFPCcP9THitActor
160	99.95	MoveBG/MapObjMare	control__9TWireBellFv
160	99.72	Enemy/poihana	initSetEnemies__15TPoiHanaManagerFv
160	99.62	MSound/MSoundSE	__ct__Q214MSoundSESystem10MSRandPlayFUlllff
160	99.25	NPC/NpcAnm	requestNpcAnm___8TBaseNPCF14EnumNpcAnmKind27EnumNpcStopMotionBlendOnOff
156	99.90	System/EventWatcher	evGetTalkSelectedValue__FP32TSpcTypedInterp<13TEventWatcher>Ul
152	99.87	GC2D/Menu	perform__9TMenuBaseFUlPQ26JDrama9TGraphics
152	99.76	System/EventWatcher	evGetTalkMode__FP32TSpcTypedInterp<13TEventWatcher>Ul
152	99.76	Map/MapEventSink	loadAfter__24TMapEventSinkInPollutionFv
144	99.86	Map/Map	isTouchedOneWall__4TMapCFffff
128	99.94	MoveBG/MapObjMamma	waitBeforeExplode__11TSandCastleFv
124	99.29	MSound/MSoundSE	getRandVol__Q214MSoundSESystem9MSRandVolFUl
120	99.27	Map/PollutionLayer	stampModel__15TPollutionLayerFP8J3DModel
104	99.23	GC2D/ConsoleStr	__sinit_ConsoleStr_cpp
100	99.88	M3DUtil/MActorData	__ct__13MActorAnmDataFv
100	99.80	MoveBG/MapObjBianco	__ct__24TBiancoWatermillVerticalFPCc
92	99.70	Enemy/koopajr	mod__Q29JGeometry8TUtil<f>Fff
52	99.62	System/DrawSyncManager	setCallback__16TDrawSyncManagerFUlUsUsP17TDrawSyncCallback
