category	unit	fuzzy%	size	demangled	symbol	vaddr
game	mario/THPPlayer/THPAudioDecode	89.27	176	AudioDecoderForOnMemory(void*)	AudioDecoderForOnMemory__FPv	2147605536
game	mario/MoveBG/MapObjMamma	89.41	332	TSandBomb::touchWater(THitActor*)	touchWater__9TSandBombFP9THitActor	2149396248
game	mario/Animal/BeeHive	89.58	192	TBeeHive::controlCollision()	controlCollision__8TBeeHiveFv	2147551616
game	mario/Animal/AnimalBase	90.25	1020	TAnimalBase::execWalk(bool)	execWalk__11TAnimalBaseFb	2147516452
game	mario/Enemy/igaiga	90.34	1244	TGorogoroManager::perform(unsigned long, JDrama::TGraphics*)	perform__16TGorogoroManagerFUlPQ26JDrama9TGraphics	2148215396
game	mario/Enemy/Kumokun	90.39	152	JGeometry::TQuat4<float>::rotate(const JGeometry::TVec3<float>&, JGeometry::TVec3<float>&) const	rotate__Q29JGeometry9TQuat4<f>CFRCQ29JGeometry8TVec3<f>RQ29JGeometry8TVec3<f>	2148651784
game	mario/MoveBG/MapObjMamma	90.56	244	TSandCastle::expanded()	expanded__11TSandCastleFv	2149393404
game	mario/Enemy/effectObj	90.77	88	TEffectObjBase::perform(unsigned long, JDrama::TGraphics*)	perform__14TEffectObjBaseFUlPQ26JDrama9TGraphics	2147713468
game	mario/MoveBG/MapObjMamma	90.88	592	TMammaMirrorMapOperator::perform(unsigned long, JDrama::TGraphics*)	perform__23TMammaMirrorMapOperatorFUlPQ26JDrama9TGraphics	2149381228
game	mario/Animal/BeeHive	91.05	256	JGeometry::TRotation3<JGeometry::TMatrix34<JGeometry::SMatrix34C<float>>>::setSQ(const JGeometry::TVec3<float>&, const JGeometry::TQuat4<float>&)	setSQ__Q29JGeometry64TRotation3<Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>>FRCQ29JGeometry8TVec3<f>RCQ29JGeometry9TQuat4<f>	2147551156
game	mario/Map/MapCheck	91.14	968	bgIntersectLine(const TBGCheckData*, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, bool, JGeometry::TVec3<float>*)	bgIntersectLine__FPC12TBGCheckDataRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>bPQ29JGeometry8TVec3<f>	2149105092
game	mario/Player/MarioMove	91.17	652	TMario::moveRequest(const JGeometry::TVec3<float>&)	moveRequest__6TMarioFRCQ29JGeometry8TVec3<f>	2149931660
game	mario/Enemy/bosswanwan	91.26	560	TBossWanwanMtxCalc::calc(unsigned short)	calc__18TBossWanwanMtxCalcFUs	2148175004
game	mario/GC2D/ConsoleStr	91.29	776	TConsoleStr::processShineGet(int)	processShineGet__11TConsoleStrFi	2148993552
game	mario/Map/MapMirror	91.33	1080	TMirrorModelManager::perform(unsigned long, JDrama::TGraphics*)	perform__19TMirrorModelManagerFUlPQ26JDrama9TGraphics	2149134500
game	mario/Enemy/limitkoopa	91.55	520	TLimitKoopa::startHipDrop()	startHipDrop__11TLimitKoopaFv	2148773776
