subsystem	function	total_uses	game_src	jsystem_src	non_sdk_headers	thpplayer_src	odemuexi2_src	files	declared_in
GX	GXGetYScaleFactor	2	0	2	0	0	0	1	dolphin/gx/GXFrameBuffer.h
GX	GXInitLightAttnA	2	2	0	0	0	0	2	dolphin/gx/GXLighting.h
GX	GXInitLightShininess	2	2	0	0	0	0	1	dolphin/gx/GXLighting.h
GX	GXInitSpecularDir	2	2	0	0	0	0	1	dolphin/gx/GXLighting.h
GX	GXInitTlutObj	2	0	2	0	0	0	1	dolphin/gx/GXTexture.h
GX	GXNormal3f32	2	2	0	0	0	0	1	dolphin/gx/GXVert.h (macro-generated WGPipe writers)
GX	GXParam1u16	2	2	0	0	0	0	1	dolphin/gx/GXVert.h (macro-generated WGPipe writers)
GX	GXSetCopyClamp	2	0	2	0	0	0	2	dolphin/gx/GXFrameBuffer.h
GX	GXSetCopyClear	2	1	1	0	0	0	2	dolphin/gx/GXFrameBuffer.h
GX	GXSetDispCopyGamma	2	0	1	0	1	0	2	dolphin/gx/GXFrameBuffer.h
GX	GXSetFog	2	2	0	0	0	0	2	dolphin/gx/GXPixel.h
OS	OSCachedToUncached	2	0	2	0	0	0	1	dolphin/os.h
OS	OSCheckHeap	2	0	0	2	0	0	1	dolphin/os/OSAlloc.h
OS	OSCreateHeap	2	0	2	0	0	0	1	dolphin/os/OSAlloc.h
OS	OSDestroyHeap	2	0	2	0	0	0	1	dolphin/os/OSAlloc.h
OS	OSGetArenaHi	2	0	2	0	0	0	2	dolphin/os.h
OS	OSGetFontEncode	2	0	2	0	0	0	1	dolphin/os/OSFont.h
OS	OSGetSoundMode	2	2	0	0	0	0	2	dolphin/os.h
OS	OSJamMessage	2	0	1	1	0	0	2	dolphin/os/OSMessage.h
OS	OSTryLockMutex	2	2	0	0	0	0	1	dolphin/os/OSMutex.h
OS	OSf32tos8	2	0	2	0	0	0	1	dolphin/os.h
MTX (paired-single)	PSMTXMultVec	2	2	0	0	0	0	2	dolphin/mtx.h
MTX (paired-single)	PSMTXTrans	2	2	0	0	0	0	1	dolphin/mtx.h
VI	VIConfigure	2	0	2	0	0	0	2	dolphin/vi/vifuncs.h
VI	VISetNextFrameBuffer	2	0	2	0	0	0	2	dolphin/vi/vifuncs.h
VI	VISetPostRetraceCallback	2	0	0	0	2	0	1	dolphin/vi/vifuncs.h
AI	AIGetDSPSampleRate	1	0	0	0	1	0	1	dolphin/ai.h
AI	AIInit	1	0	1	0	0	0	1	dolphin/ai.h
AI	AIRegisterDMACallback	1	0	1	0	0	0	1	dolphin/ai.h
AI	AIResetStreamSampleCount	1	0	1	0	0	0	1	dolphin/ai.h
AI	AISetDSPSampleRate	1	0	1	0	0	0	1	dolphin/ai.h
AI	AISetStreamSampleRate	1	0	1	0	0	0	1	dolphin/ai.h
AI	AIStartDMA	1	0	1	0	0	0	1	dolphin/ai.h
AR	ARGetBaseAddress	1	0	1	0	0	0	1	dolphin/ar.h
AR	ARGetSize	1	0	1	0	0	0	1	dolphin/ar.h
AR	ARInit	1	0	1	0	0	0	1	dolphin/ar.h
ARQ	ARQInit	1	0	1	0	0	0	1	dolphin/ar.h
CARD	CARDCheck	1	1	0	0	0	0	1	dolphin/card/CARDCheck.h
CARD	CARDCreate	1	1	0	0	0	0	1	dolphin/card/CARDCreate.h
CARD	CARDFormat	1	1	0	0	0	0	1	dolphin/card/CARDFormat.h
CARD	CARDFreeBlocks	1	1	0	0	0	0	1	dolphin/card.h
CARD	CARDInit	1	1	0	0	0	0	1	dolphin/card.h
CARD	CARDMount	1	1	0	0	0	0	1	dolphin/card/CARDMount.h
CARD	CARDOpen	1	1	0	0	0	0	1	dolphin/card/CARDOpen.h
CARD	CARDProbeEx	1	1	0	0	0	0	1	dolphin/card/CARDMount.h
CARD	CARDRead	1	1	0	0	0	0	1	dolphin/card/CARDRead.h
CARD	CARDSetBannerFormat	1	1	0	0	0	0	1	dolphin/card.h
CARD	CARDSetCommentAddress	1	1	0	0	0	0	1	dolphin/card.h
CARD	CARDSetIconAddress	1	1	0	0	0	0	1	dolphin/card.h
CARD	CARDSetIconAnim	1	1	0	0	0	0	1	dolphin/card.h
CARD	CARDSetStatus	1	1	0	0	0	0	1	dolphin/card/CARDStat.h
CARD	CARDUnmount	1	1	0	0	0	0	1	dolphin/card/CARDMount.h
CARD	CARDWrite	1	1	0	0	0	0	1	dolphin/card/CARDWrite.h
MTX (C)	C_MTXLightFrustum	1	1	0	0	0	0	1	dolphin/mtx.h
MTX (C)	C_MTXLightOrtho	1	1	0	0	0	0	1	dolphin/mtx.h
DB	DBClose	1	0	0	0	0	1	1	dolphin/odemuexi/DebuggerDriver.h
DB	DBInitComm	1	0	0	0	0	1	1	dolphin/odemuexi/DebuggerDriver.h
DB	DBInitInterrupts	1	0	0	0	0	1	1	dolphin/odemuexi/DebuggerDriver.h
DB	DBOpen	1	0	0	0	0	1	1	dolphin/odemuexi/DebuggerDriver.h
DB	DBQueryData	1	0	0	0	0	1	1	dolphin/odemuexi/DebuggerDriver.h
DB	DBRead	1	0	0	0	0	1	1	dolphin/odemuexi/DebuggerDriver.h
DB	DBWrite	1	0	0	0	0	1	1	dolphin/odemuexi/DebuggerDriver.h
OS cache	DCFlushRangeNoSync	1	0	1	0	0	0	1	dolphin/os/OSCache.h
OS cache	DCZeroRange	1	0	1	0	0	0	1	dolphin/os/OSCache.h
DSP	DSPAddTask	1	0	1	0	0	0	1	dolphin/dsp.h
DSP	DSPAssertInt	1	0	1	0	0	0	1	dolphin/dsp.h
DSP	DSPInit	1	0	1	0	0	0	1	dolphin/dsp.h
DVD	DVDCancel	1	0	0	0	1	0	1	dolphin/dvd.h
DVD	DVDCancelStreamAsync	1	0	1	0	0	0	1	dolphin/dvd.h
DVD	DVDCloseDir	1	0	1	0	0	0	1	dolphin/dvd.h
DVD	DVDGetStreamPlayAddrAsync	1	0	1	0	0	0	1	dolphin/dvd.h
DVD	DVDInit	1	1	0	0	0	0	1	dolphin/dvd.h
DVD	DVDOpenDir	1	0	1	0	0	0	1	dolphin/dvd.h
DVD	DVDReadDir	1	0	1	0	0	0	1	dolphin/dvd.h
GD	GDGetCurrent	1	1	0	0	0	0	1	dolphin/gd/GDBase.h
GD	GDSetArray	1	0	1	0	0	0	1	dolphin/gd/GDGeometry.h
GD	GDSetArrayRaw	1	0	1	0	0	0	1	dolphin/gd/GDGeometry.h
GD	GDSetChanMatColor	1	1	0	0	0	0	1	dolphin/gd/GDLight.h
GD	GDSetCurrOffset	1	0	1	0	0	0	1	dolphin/gd/GDBase.h
GD	GDSetCurrentMtx	1	1	0	0	0	0	1	dolphin/gd/GDTransform.h
GD	GDSetLightAttn	1	0	1	0	0	0	1	dolphin/gd/GDLight.h
GD	GDSetLightColor	1	0	1	0	0	0	1	dolphin/gd/GDLight.h
GD	GDSetLightDir	1	0	1	0	0	0	1	dolphin/gd/GDLight.h
GD	GDSetLightPos	1	0	1	0	0	0	1	dolphin/gd/GDLight.h
GD	GDSetOverflowCallback	1	1	0	0	0	0	1	dolphin/gd/GDBase.h
GD	GDSetTevOp	1	1	0	0	0	0	1	dolphin/gd/GDTev.h
GD	GDSetTevOrder	1	1	0	0	0	0	1	dolphin/gd/GDTev.h
GD	GDSetVtxAttrFmtv	1	1	0	0	0	0	1	dolphin/gd/GDGeometry.h
GX	GXCopyDisp	1	0	1	0	0	0	1	dolphin/gx/GXFrameBuffer.h
GX	GXDisableBreakPt	1	1	0	0	0	0	1	dolphin/gx/GXFifo.h
GX	GXDrawSphere	1	1	0	0	0	0	1	dolphin/gx/GXDraw.h
GX	GXGetCPUFifo	1	1	0	0	0	0	1	dolphin/gx/GXFifo.h
GX	GXGetFifoPtrs	1	1	0	0	0	0	1	dolphin/gx/GXFifo.h
GX	GXGetNumXfbLines	1	0	1	0	0	0	1	dolphin/gx/GXFrameBuffer.h
GX	GXGetProjectionv	1	1	0	0	0	0	1	dolphin/gx/GXGet.h
GX	GXGetTexObjAll	1	0	1	0	0	0	1	dolphin/gx/GXGet.h
GX	GXGetTexObjHeight	1	1	0	0	0	0	1	dolphin/gx/GXGet.h
GX	GXGetTexObjWidth	1	1	0	0	0	0	1	dolphin/gx/GXGet.h
GX	GXGetViewportv	1	1	0	0	0	0	1	dolphin/gx/GXGet.h
GX	GXInit	1	1	0	0	0	0	1	dolphin/gx/GXManage.h
