caller_nonexact_bytes	unit	symbol	ours	map	delta	nonexact_callers(size,fuzzy)
468	mario/Map/PollutionLayer	isProhibit__15TPollutionLayerCFfff	4	176	-172	initTexImage__15TPollutionLayerFPCc(468,99.9)
404	mario/Enemy/tinkoopa	checkKillerApproachingFromBack__9TTinKoopaFP14TCoasterKillerQ29JGeometry8TVec3<f>f	680	220	460	checkTinKoopaKillerApproachingMessage__9TTinKoopaFv(404,99.8)
392	mario/Enemy/enemyAttachment	generate__18TEnemyPolluteModelFRQ29JGeometry8TVec3<f>RQ29JGeometry8TVec3<f>	248	376	-128	generatePolluteModel__25TEnemyPolluteModelManagerFRQ29JGeometry8TVec3<f>RQ29JGeometry8TVec3<f>(392,99.9)
364	mario/Enemy/tinkoopa	makeKillerQueue__9TTinKoopaFiSc	56	68	-12	checkOrder__20TTinKoopaLaunchOrderFv(364,98.8)
340	mario/Enemy/enemymanager	createEnemy__13TEnemyManagerFv	4	248	-244	createEnemies__13TEnemyManagerFi(340,99.7)
332	mario/Player/WaterGun	movement__12TNozzleTurboFRC20TMarioControllerWork	4	308	-304	perform__9TWaterGunFUlPQ26JDrama9TGraphics(332,99.9)
332	mario/Player/WaterGun	movement__13TNozzleButtonFRC20TMarioControllerWork	4	40	-36	perform__9TWaterGunFUlPQ26JDrama9TGraphics(332,99.9)
284	mario/Enemy/Kukku	doFlyToCurPathNode__6TKukkuFv	788	712	76	calcMomentum__6TKukkuFf(284,95.8)
272	mario/MSound/MSModBgm	getTiming__10MSBgmXFadeFfPUl	96	148	-52	xFadeBgm__10MSBgmXFadeFf(272,99.4)
244	mario/Enemy/tinkoopa	checkKillerLaunch__9TTinKoopaFv	428	216	212	perform__18TTinKoopaPartsBaseFUlPQ26JDrama9TGraphics(244,95.1)
0	mario/Animal/AnimalBase	animalWalkIn__11TAnimalBaseFv	4	92	-88	
0	mario/Animal/AnimalBase	flyToCurPathNode__11TAnimalBaseFff	4	1184	-1180	
0	mario/Animal/BeeHive	dropCoin__8TBeeHiveFv	220	224	-4	
0	mario/Animal/BeeHive	prepareWait__8TBeeHiveFv	512	288	224	
0	mario/Animal/BeeHive	setBoidParamOnMarioWaterIn__8TBeeHiveFv	224	220	4	
0	mario/Animal/Bird	doWalk__11TAnimalBirdFv	404	408	-4	
0	mario/Animal/Bird	isChangeToItem__11TAnimalBirdCFv	168	152	16	
0	mario/Animal/Butterfly	receiveMessageFromChild__12TButterfloidFP10TButterfly	256	260	-4	
0	mario/Animal/fishoid	initBoids__8TFishoidFv	4	144	-140	
0	mario/Animal/fishoid	performItem__8TFishoidFUlPQ26JDrama9TGraphics	4	72	-68	
0	mario/Animal/fishoid	calcRootMatrixOnTaking__13TRealoidActorFv	4	76	-72	
0	mario/Camera/CameraBck	restartDemo__10TCameraBckFv	4	164	-160	
0	mario/Camera/CameraBck	isNowDemo__10TCameraBckCFv	4	60	-56	
0	mario/Camera/CameraBck	getDemoFileName__10TCameraBckCFv	4	40	-36	
0	mario/Camera/CameraChange	getLButtonCameraModeByNozzle___15CPolarSubCameraFv	4	8	-4	
0	mario/Camera/CameraDemo	restartReproduceDemoCamera___15CPolarSubCameraFv	4	68	-64	
0	mario/Camera/CameraInbetween	setInbetModePosAngleY__16TCameraInbetweenFQ216TCameraInbetween18EnumAngleInbetModess	112	188	-76	
0	mario/Camera/CameraInbetween	execInbetweenAndCalcPosAndAt__16TCameraInbetweenFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>ffffPQ29JGeometry8TVec3<f>PQ29JGeometry8TVec3<f>	124	236	-112	
0	mario/Camera/CameraMarioData	isMarioDoorDemoEnd__16TCameraMarioDataCFv	4	48	-44	
0	mario/Camera/CameraMarioData	isMarioDoorDemoStart__16TCameraMarioDataCFv	4	72	-68	
0	mario/Camera/CameraMarioData	isMarioBathtub__16TCameraMarioDataCFv	4	112	-108	
0	mario/Camera/CameraMultiPlayer	addPlayer__18TCameraMultiPlayerFPCQ29JGeometry8TVec3<f>ff	68	72	-4	
0	mario/Camera/cameragc	setMarioLookat___15CPolarSubCameraFv	4	200	-196	
0	mario/Enemy/Amenbo	doAdjustTarget__7TAmenboFv	372	320	52	
0	mario/Enemy/BathtubKiller	makeScrewQuat__14TBathtubKillerFQ29JGeometry8TVec3<f>ff	984	1036	-52	
0	mario/Enemy/BathtubKiller	moveParabolic__14TBathtubKillerFv	116	120	-4	
0	mario/Enemy/BathtubKiller	explodeBathtubKiller__14TBathtubKillerFv	248	332	-84	
0	mario/Enemy/BathtubKiller	breakBathtubKiller__14TBathtubKillerFv	212	332	-120	
0	mario/Enemy/BathtubPeach	goTo__13TBathtubPeachFRCQ29JGeometry8TVec3<f>	192	196	-4	
